                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.47526,                0.27718,                0.83573,                0.99954,                0.99421,                  0.995,                0.86438,                0.62119,                0.27871,                0.87892,              0.0001982,              0.0001982,              0.0001982
                     90,                0.47799,                0.27672,                 0.8428,                0.99914,                0.99338,                  0.995,                0.86801,                0.61317,                0.27465,                0.87672,             0.00018406,             0.00018406,             0.00018406
                     91,                0.45766,                0.26923,                0.81772,                0.99902,                0.99329,                  0.995,                0.86146,                0.61947,                0.27977,                0.88205,             0.00016991,             0.00016991,             0.00016991
                     92,                0.44852,                0.25838,                0.82254,                0.99914,                0.99321,                  0.995,                0.86144,                0.61313,                0.27752,                0.87691,             0.00015576,             0.00015576,             0.00015576
                     93,                0.44213,                0.25639,                  0.818,                0.99779,                0.99553,                  0.995,                0.86504,                0.62019,                0.27771,                0.88077,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.4376,                0.25533,                 0.8191,                0.99885,                0.99317,                  0.995,                 0.8659,                0.61997,                0.27692,                0.88064,             0.00012747,             0.00012747,             0.00012747
                     95,                 0.4295,                0.25118,                0.82072,                0.99831,                0.99318,                  0.995,                0.86703,                0.61247,                0.27218,                0.87744,             0.00011332,             0.00011332,             0.00011332
                     96,                0.43226,                0.24797,                0.80985,                0.99859,                0.99305,                  0.995,                0.86544,                0.61116,                0.27114,                0.87811,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.43211,                 0.2498,                0.81171,                0.99862,                0.99309,                  0.995,                0.86619,                0.61479,                0.27074,                0.88199,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.42598,                0.24481,                0.81261,                0.99868,                0.99314,                  0.995,                0.86666,                0.61323,                0.27157,                0.88105,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.42396,                0.24398,                0.80591,                0.99865,                0.99306,                  0.995,                 0.8704,                0.61425,                0.26877,                0.87931,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.42531,                0.24368,                0.80906,                0.99885,                0.99302,                  0.995,                0.86651,                0.61677,                0.26883,                0.88148,             4.2584e-05,             4.2584e-05,             4.2584e-05
